Date,Hacienda,SCWA Diversion,Dry Creek Mouth,Healdsburg,Cloverdale,Hopland,Millview,Lake Mendocino,Calpella
Jul-04,-342290.5965,-341407.5574,-4046.472609,-49944.29056,-20915.17364,-19508.23607,-351.1119184,-235.154725,-195.2400252
Aug-04,-403238.1076,-402213.4597,-3836.122888,-47064.92019,-19139.76292,-17603.4942,-340.1180305,-246.0571399,-206.1424401
Sep-04,-317298.8468,-316372.042,-2675.490679,-39096.98501,-17052.83527,-15553.91273,-357.7666042,-322.2552704,-304.0780966
Oct-04,-241487.5604,-240647.9055,-805.4592757,-22979.12628,-9421.979033,-8337.975001,-365.1494718,-136.065665,-128.3954125
Nov-04,-192446.7188,-191682.3205,-159.6816362,-11545.28554,-4663.383223,-3928.20223,-382.3701656,-91.80687676,-88.50978479
Dec-04,-188696.1573,-187944.426,-144.9674799,-19025.34986,-12536.01159,-11748.56086,-3069.579064,-109.385119,-102.8668872
Jan-05,-182094.767,-181343.0358,-145.0083451,-20216.41204,-13885.47501,-13015.11356,-2981.608403,-109.385119,-102.8668872
Feb-05,-176911.5799,-176092.5818,-159.2204456,-20321.97866,-13896.34177,-13036.85298,-3040.963911,-98.36451081,-94.83191227
Mar-05,-177295.1086,-176495.1265,-390.360375,-21679.36012,-14892.76419,-14092.08003,-3265.382246,-90.23692912,-86.89547625
Apr-05,-178880.4592,-178114.9215,-448.4534234,-23489.3978,-15325.52241,-14498.14877,-3436.550797,-98.08691073,-94.78981876
May-05,-254727.7057,-253888.4462,-2143.013207,-29024.00321,-14987.89752,-13889.43968,-4435.733078,-182.298117,-164.8967479
Jun-05,-305765.4501,-304904.3624,-5349.154848,-38673.49658,-12424.10091,-11039.33257,-350.193037,-206.8995493,-175.4034303
Jul-05,-337547.7793,-336651.3596,-5159.377708,-46264.40456,-18471.04517,-16916.30541,-338.8964874,-249.7492982,-195.2400252
Aug-05,-368783.9177,-367895.1026,-5266.384884,-46889.72787,-18664.58761,-17194.05202,-334.0103151,-235.154725,-195.2400252
Sep-05,-285039.1145,-284173.6061,-4697.009527,-41047.39065,-15625.99246,-14241.22412,-343.881731,-189.5238275,-171.3466537
Oct-05,-280312.9698,-279473.6494,-4371.540161,-33794.95728,-11602.07232,-10518.06829,-366.3710149,-182.298117,-164.8967479
Nov-05,-203487.0121,-202709.7923,-2762.964583,-20649.85109,-7781.178692,-6978.989148,-2730.760318,-101.4917144,-98.19462238
Dec-05,-176384.4253,-175629.8392,-2956.230902,-26582.04715,-14348.52932,-13574.85626,-3034.857031,-114.9973074,-108.4790757
Jan-06,-186574.4463,-185819.8603,-2023.855896,-24819.84123,-14923.64441,-14053.28297,-4581.998094,-114.9973074,-108.4790757
Feb-06,-184372.3982,-183536.9637,-2683.043139,-26560.36638,-14581.11785,-13626.14358,-3058.373575,-179.3733953,-172.1567816
Mar-06,-172338.5438,-171583.9577,-2541.301552,-25304.28683,-14036.98316,-13166.62171,-2801.879495,-109.385119,-102.8668872
Apr-06,-172941.1644,-172159.3002,-2765.199362,-25994.51192,-14091.23468,-13263.86105,-3005.912308,-93.24482675,-89.79199213
May-06,-315470.9363,-314628.822,-4622.481026,-44990.09763,-22658.76057,-21560.30273,-5349.269908,-200.2253702,-169.7452551
Jun-06,-326174.798,-325260.11,-5670.274098,-47687.85241,-20351.83378,-18712.535,-347.6685146,-269.9982272,-242.8428721
